"# of Items","# of Items"
"%s label(s) have been generated and statuses have been changed.","%s label(s) have been generated and statuses have been changed."
"%s orders already had downloaded labels.","%s orders already had downloaded labels."
"(extra cost Saturday delivery: %s EUR)","(extra cost Saturday delivery: %s EUR)"
".. as of",".. as of"
"2nd presentation","2nd presentation"
"A previous version of the bpost extension was detected!","A previous version of the bpost extension was detected!"
"Account id","Account id"
"Action","Action"
"Actions","Actions"
"All bposts orders","All bpost orders"
"Allow customer to choose their delivery date","Allow customer to choose their delivery date"
"Allowed countries","Allowed countries"
"An error occurred while importing table rates.","An error occurred while importing table rates."
"API url","API url"
"April","April"
"August","August"
"Automatic retour labels","Automatic retour labels"
"Automatic track and trace information","Automatic track and trace information"
"Barcode #","Barcode #"
"Belgium","Belgium"
"Bill to Name","Bill to"
"bpost Home delivery international","bpost Home delivery international"
"bpost Home delivery","bpost Home delivery"
"bpost Return Barcodes","bpost Return Barcodes"
"bpost Return Label","bpost Return Label"
"bpost Return Labels","bpost Return Labels"
"Bpost Shipping Manager is a service offered by Bpost","bpost Shipping Manager is a service offered by bpost"
"bpost Shipping Manager","bpost Shipping Manager"
"bpost status","bpost status"
"bpost uses Google Geocoding API to calculate GEO location based on the shipping address. <strong> Note:</strong> This is optional if you will not meet the usage limits. Visit Google’s online documentation for more information.","bpost uses Google Geocoding API to calculate GEO location based on the shipping address. <strong>Note:</strong> This is optional if you will not meet the usage limits. Visit Google’s online documentation for more information."
"bpost uses Google Maps API to display the map in the frontend. <strong> Note:</strong> This is optional if you will not meet the usage limits. Visit Google’s online documentation for more information.","bpost uses Google Maps API to display the map in the frontend. <strong>Note:</strong> This is optional if you will not meet the usage limits. Visit Google’s online documentation for more information."
"bpost","bpost"
"By using this option, customers with reduced mobility can use the lockers of the machine easiest to reach.","By using this option, customers with reduced mobility can use the lockers of the machine easiest to reach."
"Choose between A6 or A4 format","Choose between A6 or A4 format"
"Choose delivery date","Choose delivery date"
"Click here for more information","Click here for more information"
"Click here to change the bpost parcel locker point.","Click here to change the bpost parcel locker."
