"# of Items","Nombre d'articles"
"%s label(s) have been generated and statuses have been changed.","%s étiquettes ont été générées et les statuts mis à jour."
"%s orders already had downloaded labels.","les étiquettes ont déjà été téléchargées pour les commandes %s."
"(extra cost Saturday delivery: %s EUR)","(Supplément livraison le samedi: %s EUR)"
".. as of","..à partir de "
"2nd presentation","2ième présentation"
"A previous version of the bpost extension was detected!","Une version précédente du plugin bpost est déjà installée!"
"Account id","id compte"
"Action","Action"
"Actions","Actions"
"All bposts orders","Commandes bpost"
"Allow customer to choose their delivery date","Autoriser les clients à choisir leur date de livraison"
"Allow free shipping","Autoriser la livraison gratuite"
"Allowed countries","Pays autorisés"
"An error occurred while importing table rates.","Une erreur s'est produite pendant le chargement des tables rates."
"API url","API url"
"April","Avril"
"August","Août"
"Automatic retour labels","Etiquettes retour"
"Automatic track and trace information","Automatique Track & Trace"
"Barcode #","Barre code #"
"Belgium","Belgique"
"Bill to Name","Facturé à"
"bpost Home delivery international","Livraison bpost internationale"
"bpost Home delivery","bpost livraison à domicile"
"bpost Return Barcodes","bpost barre codes Retour"
"bpost Return Label","bpost étiquette Retour"
"bpost Return Labels","bpost étiquettes Retour"
"Bpost Shipping Manager is a service offered by Bpost","bpost Shipping Manager est un service offert par bpost"
"bpost Shipping Manager","bpost Shipping Manager"
"bpost status","bpost status"
"bpost uses Google Geocoding API to calculate GEO location based on the shipping address. <strong> Note:</strong> This is optional if you will not meet the usage limits. Visit Google’s online documentation for more information.","bpost utilise Google Geocoding API pour calculer la GEO localisation basée sur l'adresse de livraison. <strong>Note:</strong> Il s'agit d'une option non-obligatoire. Visitez la documentation en ligne de Google pour plus d'informations."
"bpost uses Google Maps API to display the map in the frontend. <strong> Note:</strong> This is optional if you will not meet the usage limits. Visit Google’s online documentation for more information.","bpost utilise Google Maps API pour afficher la carte dans le frontend. <strong>Note:</strong> Il s'agit d'une option non-obligatoire. Visitez la documentation en ligne de Google pour plus d'informations."
"bpost","bpost"
"Choose between A6 or A4 format","Choisissez entre format A6 ou A4"
"Choose delivery date","Choisissez le jour de livraison"
"Choose your rate type (Flat rate or Table rate)","Choisissez votre type de tarif (Flat rate ou Table rate)"
"Click here for more information","Cliquez ici pour plus d'informations"
"Click here to change the bpost parcel locker point.","Cliquez ici pour changer de distributeur de paquets."
"Click here to change the bpost pick-up point.","Cliquez ici pour changer de point de livraison."
"Click here to choose a bpost parcel locker point.","Cliquez ici pour sélectionner un distributeur de paquets."
"Click here to choose a bpost pick-up point.","Cliquez ici pour choisir un point d'enlèvement bpost."
"Click here to track your bpost shipments.","Cliquez ici pour suivre vos envois."
"Closed","Fermé"
"Close","Fermer"
"Country","Pays"
"Date Created","Date de création"
"Days between order and shipment","Nombre de jours entre la commande et l'expédition"
"December","Décembre"
"Delivery at home or at the office","Livraison à domicile ou au bureau"
"Delivery at your doorstep or at your office outside Belgium? bpack@international is the most convenient option for you!","Livraison en dehors de la Belgique? La livraison bpack@internationale est faite pour vous!"
"Delivery at your doorstep or at your office? bpack@home is the most convenient option for you!","Livraison à domicile ou sur votre lieu de travail? La livraison bpack@home est faite pour vous!"
"Delivery Date","Date de livraison"
"Delivery in a parcel locker","Livraison dans un distributeur de paquets"
"Delivery in a pick-up point or postal office","Livraison dans un point d'enlèvement"
"Display delivery date","Afficher la date de livraison"
"Displays calculated delivery date in the frontend:","Afficher la date de livraison dans le frontend:"
"Displays calculated delivery date","Afficher la date de livraison calculée"
"Do not modify this setting if you are not 100% sure of what you are doing.","Ne modifié pas les paramètres si vous n'êtes pas certain à 100% de vos faits."
"Download all undownloaded","Télécharger les étiquettes"
"Download bpost label","Télécharger l'étiquette bpost"
"Download","Télécharger"
"Drop date","Date de dépôt"
"Duplicate Row #%s (Country ","Ligne dupliqué #%s (Pays "
"Email","Email"
"Enabled","Activer"
"Error creating bpost order","Erreur lors de la création d'une commande bpost"
"Error while creating a bpost order for Magento order #%s. Please check your API log.","Erreur lors de la création d'une commande bpost pour une commande Magento #%s. Merci de vérifier vos logs API."
"Example screenshot of the bpost module.","Exemple d'écran du module bpost."
"Example","Exemple"
"Export CSV"," Exporter CSV"
"Export table rates file","Exporter le fichier des tables rates"
"Export your table rates configuration here.","Exporter ici votre configuration des tables rates."
"February","Février"
"File has not been imported. See the following list of errors: %s","Le fichier n'a pas été importé. Voir la liste des erreurs suivante: %s"
"Filepath","Filepath"
"Filter","Rechercher"
"Fixed fee for bpost Home delivery international shipments, e.g.: 4.95.","Tarif fixe pour les livraison bpost internationale, ex: 4.95."
"Fixed fee for bpost Home delivery shipments","Tarif fixe pour les livraison bpost à domicile"
"Fixed fee for bpost Home delivery shipments, e.g.: 4.95.","Tarif fixe pour les livraison bpost à domicile, ex: 4.95."
"Flat rate price","Flat rate prix"
"Flat Rate","Flat Rate"
"Free shipping","Livraison gratuite"
"Friday","Vendredi"
"Furthermore","De plus"
"G.T. (Purchased)","Montant de la commande"
"General","Général"
"Generate Label and Complete","Générer l'étiquette d'expédition"
"Get your parcel delivered in one of our 1.250 pick-up points.","Faites livrer votre paquet dans un des 1250 points d'enlèvement bpost."
"Google server API key","Google server API key"
"Have your parcels delivered in one of our parcel lockers. Very convenient, centrally located, always open, 24/7!","Faites livrer vos paquets dans un distributeur de paquets: facilement accessibles, ouverts 24h sur 24, 7 jours sur 7!"
"Home delivery","Livraison à domicile"
"How do you want to be notified when your parcel is available in the parcel locker?","Services optionnels"
"How do you want to be notified when your parcel is available in the pick-up point?","Comment voulez-vous être notifié lorsque votre paquet est disponible dans le point d'enlèvement?"
"I don","I don"
"I wish to use the reduced mobility zone","Utilisez la zone à mobilité réduite"
"If the order is placed after this cut-off time, an extra day is added to the displayed date. Order placed = end of checkout.","Si la commande est passée après le cut-off time, un jour additionel sera ajouté sur la date de livraison."
"If you enable this option","Si vous activez cette option"
"If you enable this option, a retour label is automatically added and printed when generating labels. If disabled, you are able to manually create retour labels.","Si cette option est activée, les étiquettes de retour sont automatiquement ajoutées et générées lors de l'impression. Dans le cas contraire vous devrez les rajouter manuellement"
"If you enable this option, labels are generated directly within Magento. It is not needed to use the bpost Shipping Manager for these tasks. Pop-ups must be enabled in your browser, in order to view the printed labels. Click <a href='http://bpost.freshdesk.com/solution/articles/4000061188' target='_blank'>here</a> to learn more about this option.","Si cette option est activée, les étiquettes sont générées directement par Magento. Il n'est alors plus nécessaire d'utiliser le bpost Shipping Manager pour effectuer ces tâches. Vous devrez autoriser les pop-up afin de visualiser les étiquettes imprimées. Cliquer <a href='http://bpost.freshdesk.com/solution/articles/4000061188' target='_blank'>ici</a> pour en apprendre plus sur cette option."
"If you enable this option, labels are generated directly within Magento. It is not needed to use the bpost Shipping Manager for these tasks.","Si cette option est activée, les étiquettes seront générées directement dans Magento. Il n'est alors plus nécessaire d'utiliser le bpost Shipping Manger pour effectuer ces tâches."
"If you enable this option, the bpost Track & Trace link will be added in the Magento mail templates. It is always possible to manually send these emails.<br/><a href='http://bpost.freshdesk.com/solution/articles/4000061636' target='_blank'>http://bpost.freshdesk.com/solution/articles/4000061636</a>","Si cette option est activée, un e-mail contenant les informations de tracking est automatiquement envoyé au client lors de la création des étiquettes. Il est toujours possible d'envoyer manuellement ces emails.<br/><a href='http://bpost.freshdesk.com/solution/articles/4000061636' target='_blank'>http://bpost.freshdesk.com/solution/articles/4000061636</a>"
"Import countries","Importer pays"
"Import table rates file","Importer le fichier des tables rates"
"Import your bpost configured countries here.","Importer ici votre configuration des pays.."
"Import","Importer"
"Importing and exporting table rates only possible on website scope. View the documentation for more information.","Importer et exporter les table rates est seulement possible sur le scope du site web. Visitez la documentation pour plus d'informations."
"Info text","Info texte"
"Insurance to insure your goods to a maximum of 500","Assurance pour assurer votre paquet jusqu'à une valeur maximum de 500,00 €"
"Insurance to insure your goods to a maximum of 500,00 euro.","Assurance pour assurer votre paquet jusqu'à une valeur maximum de 500,00 €"
"Insurance","Assurance"
"International insurance","Assurance internationale"
"Invalid %s ","Invalide %s "
"Invalid Country ","Pays invalide"
"Invalid Region/State ","Région/Ville invalide "
"Invalid Shipping Price ","Prix d'expédition invalide "
"Invalid Table Rates File Format","Invalide Table Rates File Format"
"Invalid Table Rates format in the Row #%s","Invalide Table Rates format dans les lignes #%s"
"items selected","articles sélectionnés"
"January","Janvier"
"July","Juillet"
"June","Juin"
"Label Barcode #","Etiquette barre code #"
"Label download","Télécharger l'étiquette"
"Label format","Format d'étiquette"
"Logo","Logo"
"March","Mars"
"May","Mai"
"Monday","Lundi"
"Next day delivery allowed till","Dernière commande possible sur votre webshop"
"No bpost product configuration found for %s. Please check your bpost shipping manager for international delivery.","Aucune configuration du produit bpost pour %s. Merci de vérifier votre bpost shipping manager pour les livraisons internationales."
"No label generated yet - please perform the ‘Generate Label and Complete’ action from the overview.","Aucune étiquette n'a été générée - Merci d'effectuer l'action ""Générer étiquette d'expédition"" depuis l'aperçu des commandes."
"No label response received for Magento order #%s.","Aucune étiquette reçu pour la commande Magento #%s."
"No more hassle and 100% transparent!","Plus de tracas et 100 % transparent!"
"No points could be found. Please use the filter above or drag the map to get a better result.","Aucun point trouvé. Merci d'utiliser la fonctionnalité de recherche ou manipuler la carte pour un meilleur résultat."
"no telephone number found","aucun numéro de téléphone trouvé"
"No undownloaded labels found.","Aucune étiquette undownloaded trouvée."
"No","Non"
"November","Novembre"
"Number of delivery days shown","Nombre de jours visibles"
"October","Octobre"
"Options","Options"
"Order #","Commande #"
"Parcel locker","Distributeur de paquets"
