"# of Items","# Items"
"%s label(s) have been generated and statuses have been changed.","%s label(s) gegenereerd en statussen gewijzigd."
"%s orders already had downloaded labels.","Voor %s order(s) zijn de labels reeds gedownload."
"(extra cost Saturday delivery: %s EUR)","(extra kost zaterdaglevering: %s EUR)"
".. as of",".. vanaf"
"2nd presentation","2e aanbieding"
"A previous version of the bpost extension was detected!","Een oudere versie van de bpost extensie werd gedetecteerd!"
"Account id","Account id"
"Action","Actie"
"Actions","Acties"
"All bposts orders","Alle bpost orders"
"Allow customer to choose their delivery date","Uw klant toelaten om de leveringsdatum te kiezen"
"Allow free shipping","Gratis verzending toelaten"
"Allowed countries","Toegelaten landen"
"An error occurred while importing table rates.","Er heeft zich een fout voorgedaan bij het importeren van de prijzen."
"API url","API url"
"April","April"
"August","Augustus"
"Automatic retour labels","Automatische retouretiketten"
"Automatic track and trace information","Automatische track & trace informatie"
"Barcode #","Barcode #"
"Belgium","België"
"Bill to Name","Facturatie aan"
"bpost Home delivery international","bpost internationale thuislevering"
"bpost Home delivery","bpost thuislevering"
"bpost Return Barcodes","bpost retouretiketten"
"bpost Return Label","bpost retouretiket"
"bpost Return Labels","bpost retouretiketten"
"Bpost Shipping Manager is a service offered by Bpost","bpost Shipping Manager is een dienst aangeboden door bpost"
"bpost Shipping Manager","bpost Shipping Manager"
"bpost status","bpost status"
"bpost uses Google Geocoding API to calculate GEO location based on the shipping address. <strong> Note:</strong> This is optional if you will not meet the usage limits. Visit Google’s online documentation for more information.","bpost gebruikt de Google Geocoding API om de geolocatie te berekenen op basis van het verzendadres. <strong>Opmerking:</strong> Dit is optioneel indien u de gebruikslimiet niet overschrijdt. Bekijk de online documentatie van Google voor meer informatie."
"bpost uses Google Maps API to display the map in the frontend. <strong> Note:</strong> This is optional if you will not meet the usage limits. Visit Google’s online documentation for more information.","bpost gebruikt de Google Maps API om de map in de frontend weer te geven. <strong>Opmerking:</strong> Dit is optioneel indien u de gebruikslimiet niet overschrijdt. Bekijk de online documentatie van Google voor meer informatie."
"bpost","bpost"
"By using this option, customers with reduced mobility can use the lockers of the machine easiest to reach.","Door deze optie te kiezen, kunnen klanten met beperkte mobiliteit gebruiken maken van de lockers van de makkelijkst bereikbare pakjesautomaat."
